name,LCD,PLD,density g/cm3,VSA_m2/cm3,GSA_m^2/g,Vp_cm3/g,void_fraction,u(mol/s),time(s),K,P_ads,P_desor,CH4,CO2,H_m,D_m,CH4_MTC,CO2_MTC,Purity,Recovery
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,278,1,0.2,0.5,0.5,0.3,0.01,0.01,0.005,0.082744656,0.98685
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,278,1,0.2,0.5,0.5,0.3,0.01,0.01,0.01,0.080890106,0.976145
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,278,1,0.2,0.5,0.5,0.3,0.01,0.01,0.02,0.081182987,0.970405
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,278,1,0.2,0.7,0.3,0.2,0.01,0.01,0.005,0.081389076,0.988216667
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,278,1,0.2,0.7,0.3,0.2,0.01,0.01,0.01,0.07939927,0.982341667
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,278,1,0.2,0.7,0.3,0.2,0.01,0.01,0.02,0.079353033,0.97935
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,278,1,0.2,0.7,0.3,0.25,0.01,0.01,0.005,0.063079471,0.987083333
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,278,1,0.2,0.7,0.3,0.25,0.01,0.01,0.01,0.064456387,0.980591667
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,278,1,0.2,0.7,0.3,0.25,0.01,0.01,0.02,0.041729444,0.839504083
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,278,1,0.2,0.7,0.3,0.3,0.01,0.01,0.005,0.053315845,0.9864
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,278,1,0.2,0.7,0.3,0.3,0.01,0.01,0.01,0.052950788,0.9787
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,278,1,0.2,0.7,0.3,0.3,0.01,0.01,0.02,0.035008133,0.838717583
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,278,1,0.2,0.85,0.15,0.2,0.01,0.01,0.005,0.042295391,0.987866667
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,278,1,0.2,0.85,0.15,0.2,0.01,0.01,0.01,0.042031808,0.9834
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,278,1,0.2,0.85,0.15,0.2,0.01,0.01,0.02,0.041952311,0.981166667
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,278,1,0.2,0.85,0.15,0.25,0.01,0.01,0.005,0.033384395,0.986883333
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,278,1,0.2,0.85,0.15,0.25,0.01,0.01,0.01,0.033197851,0.9815
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,278,1,0.2,0.85,0.15,0.25,0.01,0.01,0.02,0.033138868,0.978816667
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,278,1,0.2,0.85,0.15,0.3,0.01,0.01,0.005,0.027490146,0.98605
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,278,1,0.2,0.85,0.15,0.3,0.01,0.01,0.01,0.027314808,0.979766667
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,278,1,0.2,0.85,0.15,0.3,0.01,0.01,0.02,0.027249531,0.97665
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,298,1,0.2,0.5,0.5,0.2,0.01,0.01,0.005,0.194889873,0.99235
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,298,1,0.2,0.5,0.5,0.2,0.01,0.01,0.01,0.192460401,0.986195
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,298,1,0.2,0.5,0.5,0.2,0.01,0.01,0.02,0.191814898,0.982755
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,298,1,0.2,0.5,0.5,0.25,0.01,0.01,0.005,0.157847441,0.99245
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,298,1,0.2,0.5,0.5,0.25,0.01,0.01,0.01,0.150252102,0.984735
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,298,1,0.2,0.5,0.5,0.25,0.01,0.01,0.02,0.099523028,0.58987
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,298,1,0.2,0.5,0.5,0.3,0.01,0.01,0.005,0.132085138,0.9926
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,298,1,0.2,0.5,0.5,0.3,0.01,0.01,0.01,0.125929539,0.98372
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,298,1,0.2,0.5,0.5,0.3,0.01,0.01,0.02,0.123423876,0.97866
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,298,1,0.2,0.7,0.3,0.2,0.01,0.01,0.005,0.125475446,0.991316667
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,298,1,0.2,0.7,0.3,0.2,0.01,0.01,0.01,0.124332428,0.986908333
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,298,1,0.2,0.7,0.3,0.2,0.01,0.01,0.02,0.123966058,0.98465
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,298,1,0.2,0.7,0.3,0.25,0.01,0.01,0.005,0.100661679,0.991258333
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,298,1,0.2,0.7,0.3,0.25,0.01,0.01,0.01,0.097021212,0.985725
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,298,1,0.2,0.7,0.3,0.25,0.01,0.01,0.02,0.099521429,0.983108333
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,298,1,0.2,0.7,0.3,0.3,0.01,0.01,0.005,0.083755421,0.991191667
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,298,1,0.2,0.7,0.3,0.3,0.01,0.01,0.01,0.082819401,0.984908333
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,298,1,0.2,0.7,0.3,0.3,0.01,0.01,0.02,0.080445244,0.981375
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,298,1,0.2,0.85,0.15,0.2,0.01,0.01,0.005,0.066245762,0.99085
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,298,1,0.2,0.85,0.15,0.2,0.01,0.01,0.01,0.065831919,0.987383333
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,298,1,0.2,0.85,0.15,0.2,0.01,0.01,0.02,0.065768544,0.9868
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,298,1,0.2,0.85,0.15,0.25,0.01,0.01,0.005,0.05274142,0.99065
Ni-MOF-74,2.88311,1.27053,1.71067,0,0,0.226578,0.3876,2.00E-05,200,298,1,0.2,0.85,0.15,0.25,0.01,0.01,0.01,0.052428303,0.986416667
